,0,1,2,3,4,5,6,7,8,9,10,11
167,Guca2b,Ly6a,Ahcyl2,Ppp1r14a,Mcm6,Ass1,Clec3b,Snhg5,Mcm6,Dpep1,Grp,Asb2
168,Dgat2,Fam162a,B4galt5,Gucy1a1,Cd83,Tspan9,Aoc3,Sec16a,Knstrn,Lama3,Tmem179,Ets1
169,Klf6,2900026A02Rik,Lrmp,Svil,Impdh1,Cuedc1,Col14a1,Mcm3,Lrig1,1810065E05Rik,Actg2,Cyp4f18
170,Ccng2,Prss23,B3gnt5,Fn1,Mogs,Wscd2,Dact3,Sidt1,C1s1,Efna1,Slc7a14,Tap1
171,Itga2,Kras,Hao2,Postn,Slc27a1,Prelp,Retnla,Plk1,Hopx,Lmod1,Slc10a4,Arrb2
172,Plet1,Cry1,Fer1l6,Apoe,Pcsk1,Fnbp1,Gm2a,Ckap2l,Akap8,Prph,Napb,Slfn2
173,Cidec,St3gal1,H2-Q2,Optc,Wnk4,Nxn,Sod3,Rrm2,Mrc1,Cryab,Tpm2,Ifitm1
174,Ifit1,H2-T3,Rasef,Pea15a,Fkbp11,Ppy,Adcy5,Arhgef39,Csf1,Abat,Syn1,Gramd1a
175,Dock8,Oasl1,Slc34a2,Cacna1h,Slc30a7,Olfml3,Lyve1,Srek1,Abi3bp,Tuba1a,Myl9,Vav1
176,Fer1l6,Il18,Ifrd1,Plet1,Tgfbr2,Car4,Mfap5,Itln1,Bgn,Pdlim7,Rundc3a,Pla2g2d
177,Klf4,Atf3,Wfdc2,Cuedc1,Mfap3l,Ifi27l2a,Arhgef25,Prc1,Folr2,Ptgis,Des,Traf3ip3
178,Lrat,Retnlb,Chp1,Plin4,Pcsk6,Timp3,Ckm,Aurkb,Pltp,Parp12,Slc5a7,Themis2
179,Ddx60,Aqp8,Birc3,Sst,Gm13648,A630023A22Rik,Hspb6,Npm3,Etv4,Scg2,Fez1,Pik3cd
180,Asb13,Akr1c19,Ahnak2,Fnbp1,Tle1,Itga9,Cldn5,Cdc20,Plch2,Flnc,Mapk10,Arhgap4
181,Gpd1,Cyp2c65,Amdhd2,Srpx,Rgs2,Cav3,Sh3bgr,Kcnh3,1700025G04Rik,Fbxl22,P2rx2,Bin1
182,Tns4,Gstk1,Gca,Rgs2,Arhgef39,Tgm3,Chrm2,Cxcl12,Zfand1,Clec2h,Clu,Cd68
183,Als2cl,Slc40a1,Leng9,Tspan9,Chrnb4,Klhdc8b,Fbln2,Lsm2,Nanp,Iglc1,Mfap4,Fmnl1
184,Insl6,Bmp2,Etv3,Sh3bgr,Prap1,Mfap4,Islr,Chka,Rasd1,Irf7,Pcp4l1,Lmo2
185,Ahcyl2,Ncoa7,Ces2a,Aspn,Tcf21,Pcolce,Col6a2,Lrig1,Hoxa7,Synm,Gal,Pirb
